month,hour,emd_cd,population,source_adstrd_cd,source_adstrd_nm
202311,5,41135108,1509844.1,4113565000,판교동
202111,1,41135108,37446.69,4113565000,판교동
202111,2,41135108,81127.18,4113565000,판교동
202111,3,41135108,123572.12,4113565000,판교동
202111,4,41135108,145932.56,4113565000,판교동
202111,5,41135108,149808.72,4113565000,판교동
202111,6,41135108,151883.98,4113565000,판교동
202111,7,41135108,153503.38,4113565000,판교동
202111,8,41135108,148933.98,4113565000,판교동
202111,9,41135108,141133.38,4113565000,판교동
202111,10,41135108,121740.2,4113565000,판교동
202112,10,41135108,119880.36,4113565000,판교동
202112,9,41135108,138489.03,4113565000,판교동
202112,8,41135108,146873.61,4113565000,판교동
202112,7,41135108,152030.86,4113565000,판교동
202112,6,41135108,151443.48,4113565000,판교동
202112,5,41135108,149114.33,4113565000,판교동
202112,4,41135108,144645.66,4113565000,판교동
202112,3,41135108,122116.3,4113565000,판교동
202112,2,41135108,79623.95,4113565000,판교동
202112,1,41135108,37209.12,4113565000,판교동
202011,1,41135108,34991.79,4113565000,판교동
202011,2,41135108,71031.24,4113565000,판교동
202011,3,41135108,113091.71,4113565000,판교동
202011,4,41135108,136262.84,4113565000,판교동
202011,5,41135108,140993.02,4113565000,판교동
202011,6,41135108,143842.61,4113565000,판교동
202011,7,41135108,145080.23,4113565000,판교동
202011,8,41135108,139747.7,4113565000,판교동
202011,9,41135108,130340.87,4113565000,판교동
202011,10,41135108,110879,4113565000,판교동
202412,10,41135108,657874.06,4113565000,판교동
202412,9,41135108,1415355.2,4113565000,판교동
202412,8,41135108,1488130.1,4113565000,판교동
202412,7,41135108,1599152.4,4113565000,판교동
202412,6,41135108,1556389.2,4113565000,판교동
202412,5,41135108,1484142.2,4113565000,판교동
202412,4,41135108,1395183.5,4113565000,판교동
202412,3,41135108,1128402.1,4113565000,판교동
202412,2,41135108,680349.1,4113565000,판교동
202412,1,41135108,581349.2,4113565000,판교동
202012,1,41135108,33930.54,4113565000,판교동
202012,2,41135108,66898.41,4113565000,판교동
202012,3,41135108,105011.47,4113565000,판교동
202012,4,41135108,126751.49,4113565000,판교동
202012,5,41135108,133701.34,4113565000,판교동
202012,6,41135108,137742.1,4113565000,판교동
202012,7,41135108,138210.81,4113565000,판교동
202012,8,41135108,132371.86,4113565000,판교동
202012,9,41135108,123427.82,4113565000,판교동
202012,10,41135108,106847.71,4113565000,판교동
201801,1,41135108,33954.76,4113565000,판교동
201801,2,41135108,63487.47,4113565000,판교동
201801,3,41135108,100103.09,4113565000,판교동
201801,4,41135108,122301.46,4113565000,판교동
201801,5,41135108,128422.44,4113565000,판교동
201801,6,41135108,131284.64,4113565000,판교동
201801,7,41135108,132989.5,4113565000,판교동
201801,8,41135108,129606.91,4113565000,판교동
201801,9,41135108,122511.77,4113565000,판교동
201801,10,41135108,103982.73,4113565000,판교동
202411,10,41135108,681352,4113565000,판교동
202411,9,41135108,1473206.6,4113565000,판교동
202411,8,41135108,1553971.1,4113565000,판교동
202411,7,41135108,1665350.5,4113565000,판교동
202411,6,41135108,1606026.1,4113565000,판교동
202411,5,41135108,1531120.8,4113565000,판교동
202411,4,41135108,1450726.8,4113565000,판교동
202411,3,41135108,1198024.8,4113565000,판교동
202411,2,41135108,738047.2,4113565000,판교동
202411,1,41135108,595985.3,4113565000,판교동
201802,1,41135108,33242.6,4113565000,판교동
201802,2,41135108,62284.63,4113565000,판교동
201802,3,41135108,95253.61,4113565000,판교동
201802,4,41135108,115706.52,4113565000,판교동
201802,5,41135108,121433.64,4113565000,판교동
201802,6,41135108,123729.45,4113565000,판교동
201802,7,41135108,124701.26,4113565000,판교동
201802,8,41135108,122838.64,4113565000,판교동
201802,9,41135108,116877.92,4113565000,판교동
201802,10,41135108,98906.15,4113565000,판교동
202410,10,41135108,670404,4113565000,판교동
202410,9,41135108,1454152.2,4113565000,판교동
202410,8,41135108,1533529.8,4113565000,판교동
202410,7,41135108,1628344,4113565000,판교동
202410,6,41135108,1558955.2,4113565000,판교동
202410,5,41135108,1479277.9,4113565000,판교동
202410,4,41135108,1400115.9,4113565000,판교동
202410,3,41135108,1151838.2,4113565000,판교동
202410,2,41135108,711791.5,4113565000,판교동
202410,1,41135108,528996.06,4113565000,판교동
201803,1,41135108,34512.17,4113565000,판교동
201803,2,41135108,68050.92,4113565000,판교동
201803,3,41135108,102484.02,4113565000,판교동
201803,4,41135108,121775.98,4113565000,판교동
201803,5,41135108,127116.41,4113565000,판교동
201803,6,41135108,130685.75,4113565000,판교동
201803,7,41135108,133708.05,4113565000,판교동
201803,8,41135108,132315.88,4113565000,판교동
201803,9,41135108,125976.19,4113565000,판교동
201803,10,41135108,106784.58,4113565000,판교동
202409,10,41135108,693201.9,4113565000,판교동
202409,9,41135108,1506439.2,4113565000,판교동
202409,8,41135108,1587047.5,4113565000,판교동
202409,7,41135108,1682304.9,4113565000,판교동
202409,6,41135108,1613288.5,4113565000,판교동
202409,5,41135108,1538102.9,4113565000,판교동
202409,4,41135108,1460143.2,4113565000,판교동
202409,3,41135108,1221955.2,4113565000,판교동
202409,2,41135108,786905.75,4113565000,판교동
202409,1,41135108,793481.4,4113565000,판교동
201804,1,41135108,32134.9,4113565000,판교동
201804,2,41135108,67145.19,4113565000,판교동
201804,3,41135108,102287.13,4113565000,판교동
201804,4,41135108,121223.4,4113565000,판교동
201804,5,41135108,126141.06,4113565000,판교동
201804,6,41135108,129602.98,4113565000,판교동
201804,7,41135108,132538.16,4113565000,판교동
201804,8,41135108,131281.66,4113565000,판교동
201804,9,41135108,125048.82,4113565000,판교동
201804,10,41135108,106192.42,4113565000,판교동
202010,1,41135108,37115.11,4113565000,판교동
202010,2,41135108,71461.29,4113565000,판교동
202010,3,41135108,110363.36,4113565000,판교동
202010,4,41135108,132515.98,4113565000,판교동
202010,5,41135108,137849.7,4113565000,판교동
202010,6,41135108,141534.05,4113565000,판교동
202010,7,41135108,143411.88,4113565000,판교동
202010,8,41135108,138486.22,4113565000,판교동
202010,9,41135108,130060.92,4113565000,판교동
202010,10,41135108,110447.46,4113565000,판교동
202408,10,41135108,661772.56,4113565000,판교동
202408,9,41135108,1440801,4113565000,판교동
202408,8,41135108,1519737.8,4113565000,판교동
